year,cagr,max_dd,sharpe,n_days,config
2022,44.6996748803918,18.07259018601179,0.9997473771832972,260,Polygon Tier 1 (data-noise driven)
2023,8.153791786379895,17.58438894265559,0.3886393476663015,260,Polygon Tier 1 (data-noise driven)
2024,77.10165500024166,23.237924097370293,1.0565642980783176,262,Polygon Tier 1 (data-noise driven)
2025,19.777689276424493,15.106806884986968,0.6263549101975618,261,Polygon Tier 1 (data-noise driven)
2026,10.020346527044977,10.910210605644872,0.4275328525931803,86,Polygon Tier 1 (data-noise driven)
2022,10.82773786281579,4.344440498075067,1.191644178876875,260,Polygon Phase 5 stable (caps)
2023,-0.32197670384431776,4.40436800866655,-0.016663877571691882,260,Polygon Phase 5 stable (caps)
2024,9.041580782580926,6.92792789795193,0.5753987691619971,262,Polygon Phase 5 stable (caps)
2025,7.205899178230801,3.554610254398771,0.7131852243364621,261,Polygon Phase 5 stable (caps)
2026,5.298616789788713,2.6325304178825912,0.5932991656857884,86,Polygon Phase 5 stable (caps)
2022,1.5512421474269456,4.844300311104867,0.3115068852962725,260,ORATS Tier 1 2022-2026 (validation)
2023,1.532682223940074,3.033575266130773,0.7044037077518602,260,ORATS Tier 1 2022-2026 (validation)
2024,4.6088153434757695,1.4127717866016805,1.1510909045324873,262,ORATS Tier 1 2022-2026 (validation)
2025,-0.7884185937708232,6.04476199488974,-0.10989542793935303,261,ORATS Tier 1 2022-2026 (validation)
2026,21.713557463232604,2.046634245810348,2.209345808681461,86,ORATS Tier 1 2022-2026 (validation)
2008,-0.7797362695602827,6.958773668017996,-0.01845268456802319,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2009,0.1398133702939397,4.919406191634143,0.053019153287575144,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2010,1.420802656493425,1.5933257505442648,0.5549094635529326,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2011,16.426194915975234,3.4014029922810254,2.617445702273459,260,ORATS Tier 1 2008-2026 (3-cell + extVol)
2012,-1.479201895707427,2.0070909439867837,-0.6989706278592834,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2013,0.668610772922329,4.010472222146283,0.1816253328841549,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2014,3.04859852472823,2.152422007806355,1.0138759706888256,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2015,-0.3455836367121212,4.506791957143206,-0.03631252166636007,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2016,4.36402030926637,2.1063440944495313,1.1066221155523777,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2017,0.4431719543132484,0.2616050505448581,1.0747104066481104,260,ORATS Tier 1 2008-2026 (3-cell + extVol)
2018,4.073865491364637,2.0761961024773132,1.0932553123141462,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2019,-4.9442131482709595,7.111345413761491,-1.2751186356825381,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2020,11.170491187169551,7.677091994071131,0.6370775806546022,262,ORATS Tier 1 2008-2026 (3-cell + extVol)
2021,-2.4250742083963384,5.418349733694967,-0.5456364393269173,261,ORATS Tier 1 2008-2026 (3-cell + extVol)
2022,5.02442055566743,3.128489356761014,0.9095839529121477,260,ORATS Tier 1 2008-2026 (3-cell + extVol)
